id,year_born,gender,industry,industry_d,occupation,occupation_d,organisation_size,manage_people,household,how_long,m_r,time_last_year1,think_last_year1,think_last_year2,think_last_year3,think_last_year4,think_last_year5,think_last_year6,prefer_last_year,time_last_year2,think_last_months1,think_last_months2,think_last_months3,think_last_months4,think_last_months5,think_last_months6,prefer_last_months,prefer_post_covid,cured1,cured2,cured3,productive,time_workplace1,time_workplace2,time_workplace3,time_workplace4,time_remote1,time_remote2,time_remote3,time_remote4,most_barrier1,least_barrier1,most_barrier2,least_barrier2,most_barrier3,least_barrier3,most_barrier4,least_barrier4,most_barrier5,least_barrier5,most_barrier6,least_barrier6,most_barrier7,least_barrier7,most_barrier8,least_barrier8,most_barrier9,least_barrier9,most_barrier10,least_barrier10,best_remote1,worst_remote1,best_remote2,worst_remote2,best_remote3,worst_remote3,best_remote4,worst_remote4,best_remote5,worst_remote5,best_remote6,worst_remote6,time_remote_last_year,time_preferred_remote_last_year,time_remote_last_months,time_preferred_remote_last_months,time_preferred_postcovid,productivity,diff_last_year,diff_last_months,diff_post_covid,tlm_1,tlm_2,tlm_3,tlm_4,tlm_5,tlm_6,tly_1,tly_2,tly_3,tly_4,tly_5,tly_6,cur_1,cur_2,cur_3,most_barrier,least_barrier,best_remote,worst_remote,index_p,index_p20
1,1972,Female,Manufacturing,Food Product Manufacturing,Clerical and administrative ,Otros Clericales y Administrativos,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Regional,Rarely or never ,,,,,,,I would not have preferred to work remotely ,90%,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,80%,90%,Somewhat disagree,Somewhat disagree,Strongly disagree,Im 50% more productive when working remotely (or more),2.0,8.0,2.0,2.0,0.5,8.0,3.5,2.0,Difficulty collaborating remotely,Connectivity (internet connection),Connectivity (internet connection),Cyber security,I have tasks that can't be done remotely,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Connectivity (internet connection),"My living situation (e.g. location, home size, who I live with)",Lack of motivation,Cyber security,I have tasks that can't be done remotely,Caring responsibilities,Difficulty collaborating remotely,"My living situation (e.g. location, home size, who I live with)",Management discourages remote working,Cyber security,Lack of motivation,"My living situation (e.g. location, home size, who I live with)",Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Preparing for work and commuting,My working relationships,Managing my personal commitments,My opportunities to socialise,Preparing for work and commuting,My working relationships,Managing my personal commitments,The number of hours  I work,My job satisfaction,The number of hours  I work,Managing my personal commitments,My opportunities to socialise,0,0,90,80,90,50,0,10,0,2.0,1.0,1.0,2.0,1.0,2.0,,,,,,,-1,-1,-2,Difficulty collaborating remotely,Cyber security,Managing my personal commitments,My working relationships,-5.0,-5.0
2,1972,Male,Wholesale Trade,Other Goods Wholesaling,Managers,"Directores Ejecutivos, Gerentes Generales y Legisladores",Between 1 and 4,Yes,Couple with dependent children,More than 5 years,Metro,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,20%,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,20%,20%,Somewhat agree,Somewhat agree,Somewhat agree,Im 20% less productive when working remotely,2.0,7.0,3.0,3.0,0.0,7.0,3.0,3.0,"IT equipment (computer, printer, etc.)",Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,I have tasks that can't be done remotely,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,"IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,Caring responsibilities,"IT equipment (computer, printer, etc.)","IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,Management discourages remote working,Lack of motivation,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Lack of motivation,Lack of motivation,Management discourages remote working,My work-life balance,My on-the-job learning opportunities,Preparing for work and commuting,My working relationships,Preparing for work and commuting,My working relationships,My work-life balance,My on-the-job learning opportunities,My work-life balance,My on-the-job learning opportunities,My personal relationships,My opportunities to socialise,20,20,20,20,20,-20,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,"IT equipment (computer, printer, etc.)",Feeling left out and/or isolated,My work-life balance,My on-the-job learning opportunities,0.0,0.0
3,1982,Male,"Electricity, Gas, Water and Waste Services",Gas Supply,Managers,"Directores Ejecutivos, Gerentes Generales y Legisladores",More than 200,Yes,One  parent family with dependent children,More than 5 years,Metro,60%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,50% - About half of my time,50% - I spent about half of my time remote working,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,60%,60%,Somewhat agree,Somewhat agree,Somewhat agree,Im 10% less productive when working remotely,6.0,1.0,6.0,5.0,5.0,2.0,7.0,7.0,Difficulty collaborating remotely,Caring responsibilities,Poor management,Lack of motivation,Poor management,Connectivity (internet connection),Poor management,"My living situation (e.g. location, home size, who I live with)",Caring responsibilities,Lack of motivation,My organisation's software and systems,I have tasks that can't be done remotely,Lack of remote working skills,Caring responsibilities,Lack of remote working skills,I have tasks that can't be done remotely,My organisation's software and systems,Lack of motivation,Lack of remote working skills,My organisation's software and systems,The number of hours  I work,Preparing for work and commuting,Managing my personal commitments,Preparing for work and commuting,Preparing for work and commuting,Managing my family responsibilities,The number of hours  I work,My mental wellbeing,The number of hours  I work,My daily expenses,My mental wellbeing,My daily expenses,60,50,50,60,60,-10,10,-10,10,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,1,1,Poor management,Lack of motivation,The number of hours  I work,Preparing for work and commuting,0.0,0.0
4,1987,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,Profesionales de Tecnologías de la Información y Comunicación,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,20%,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,50% - About half of my time,100% - I spent all of my time remote working,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Somewhat agree,Strongly agree,Somewhat agree,My productivity is about same when I work remotely,1.0,9.0,1.0,2.0,0.0,9.0,3.0,2.0,Feeling left out and/or isolated,Difficulty collaborating remotely,Cyber security,Lack of motivation,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",My organisation's software and systems,Feeling left out and/or isolated,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,Lack of motivation,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Difficulty collaborating remotely,"IT equipment (computer, printer, etc.)",Lack of remote working skills,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,Lack of motivation,Lack of remote working skills,Lack of motivation,Lack of remote working skills,My work-life balance,Managing my family responsibilities,Preparing for work and commuting,My opportunities to socialise,My personal relationships,My working relationships,My work-life balance,My on-the-job learning opportunities,My work-life balance,My on-the-job learning opportunities,My personal relationships,My job satisfaction,20,50,100,100,100,0,-30,0,0,2.0,-1.0,1.0,2.0,2.0,2.0,-2.0,1.0,-1.0,-1.0,1.0,1.0,1,2,1,Lack of motivation,Lack of motivation,My work-life balance,My on-the-job learning opportunities,15.0,15.0
5,1991,Male,"Transport, Postal and Warehousing",Other Transport,Managers,Gerentes Especialistas,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,Less than 10% of my time,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,60%,90%,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,100% - All of my time,60%,Strongly disagree,Strongly disagree,Strongly disagree,Im 20% more productive when working remotely,1.0,8.0,13.0,2.0,0.0,6.0,15.0,3.0,Poor management,Difficulty collaborating remotely,Poor management,Connectivity (internet connection),Poor management,Connectivity (internet connection),Poor management,Connectivity (internet connection),Caring responsibilities,Lack of motivation,"IT equipment (computer, printer, etc.)",Caring responsibilities,Management discourages remote working,Difficulty collaborating remotely,Lack of remote working skills,Lack of motivation,I have tasks that can't be done remotely,Lack of motivation,Management discourages remote working,"My living situation (e.g. location, home size, who I live with)",Preparing for work and commuting,My on-the-job learning opportunities,Managing my personal commitments,My working relationships,Preparing for work and commuting,My daily expenses,My work-life balance,My on-the-job learning opportunities,My work-life balance,My on-the-job learning opportunities,My opportunities to socialise,My job satisfaction,10,60,90,100,60,20,-50,-10,-30,-1.0,1.0,2.0,-1.0,1.0,2.0,-2.0,1.0,-1.0,-2.0,2.0,1.0,-2,-2,-2,Poor management,Connectivity (internet connection),Preparing for work and commuting,My on-the-job learning opportunities,30.0,30.0
6,1989,Male,Retail Trade,Food Retailing,Sales ,Soporte de Ventas,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro,Less than 10% of my time,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,40%,70%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,1.0,8.0,2.0,2.0,0.0,7.0,3.0,3.0,Feeling left out and/or isolated,Caring responsibilities,Feeling left out and/or isolated,Connectivity (internet connection),Poor management,I have tasks that can't be done remotely,Poor management,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,"IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Difficulty collaborating remotely,"My living situation (e.g. location, home size, who I live with)",Difficulty collaborating remotely,Lack of motivation,Lack of motivation,"My living situation (e.g. location, home size, who I live with)",Management discourages remote working,"My living situation (e.g. location, home size, who I live with)",Preparing for work and commuting,My on-the-job learning opportunities,Preparing for work and commuting,My working relationships,Preparing for work and commuting,My job satisfaction,My work-life balance,My on-the-job learning opportunities,My work-life balance,My on-the-job learning opportunities,My mental wellbeing,My job satisfaction,10,40,70,50,50,0,-30,20,-20,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1,1,1,Difficulty collaborating remotely,"My living situation (e.g. location, home size, who I live with)",Preparing for work and commuting,My on-the-job learning opportunities,5.0,5.0
7,1973,Male,Financial and Insurance Services,Finance,Clerical and administrative ,Clerical General,More than 200,No,Couple with dependent children,More than 5 years,Metro,Rarely or never ,,,,,,,70%,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,100% - All of my time,90%,Somewhat agree,Strongly agree,Strongly agree,Im 50% more productive when working remotely (or more),2.0,8.0,4.0,1.0,0.0,8.0,5.0,3.0,Poor management,Feeling left out and/or isolated,Connectivity (internet connection),Lack of motivation,Poor management,Feeling left out and/or isolated,Management discourages remote working,Feeling left out and/or isolated,Cyber security,"IT equipment (computer, printer, etc.)",My organisation's software and systems,"IT equipment (computer, printer, etc.)",Management discourages remote working,"IT equipment (computer, printer, etc.)",Lack of remote working skills,Lack of motivation,I have tasks that can't be done remotely,"My living situation (e.g. location, home size, who I live with)",Management discourages remote working,"My living situation (e.g. location, home size, who I live with)",My on-the-job learning opportunities,Preparing for work and commuting,My opportunities to socialise,Preparing for work and commuting,My daily expenses,My working relationships,My work-life balance,The number of hours  I work,My daily expenses,The number of hours  I work,My daily expenses,Managing my personal commitments,0,70,100,100,90,50,-70,0,-10,2.0,1.0,2.0,-2.0,2.0,2.0,,,,,,,1,2,2,Management discourages remote working,Feeling left out and/or isolated,My daily expenses,Preparing for work and commuting,35.0,35.0
8,1992,Male,Manufacturing,Polymer Product and Rubber Product Manufacturing,Managers,"Directores Ejecutivos, Gerentes Generales y Legisladores",Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro,80%,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,90%,90%,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,80%,80%,Somewhat agree,Somewhat agree,Strongly agree,Im 30% less productive when working remotely,1.0,8.0,4.0,3.0,0.4,6.0,4.0,6.0,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Lack of motivation,I have tasks that can't be done remotely,Connectivity (internet connection),Poor management,Connectivity (internet connection),Lack of motivation,"IT equipment (computer, printer, etc.)",Caring responsibilities,"IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,"My living situation (e.g. location, home size, who I live with)",Caring responsibilities,Cyber security,I have tasks that can't be done remotely,Cyber security,Cyber security,Management discourages remote working,My on-the-job learning opportunities,My work-life balance,Preparing for work and commuting,Managing my family responsibilities,My job satisfaction,Managing my family responsibilities,My mental wellbeing,The number of hours  I work,My job satisfaction,The number of hours  I work,Managing my personal commitments,My job satisfaction,80,90,90,80,80,-30,-10,10,-10,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1,1,2,Caring responsibilities,Connectivity (internet connection),My job satisfaction,Managing my family responsibilities,0.0,0.0
9,1977,Male,Administrative and Support Services,Administrative Services,Clerical and administrative ,Clerical General,More than 200,No,Single person,More than 5 years,Metro,60%,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,60%,60%,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,70%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Im 30% more productive when working remotely,0.0,8.0,12.0,4.0,0.0,8.0,13.0,1.0,Poor management,Feeling left out and/or isolated,Poor management,Feeling left out and/or isolated,Poor management,Feeling left out and/or isolated,Poor management,Lack of remote working skills,Caring responsibilities,Cyber security,"IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,Management discourages remote working,Lack of remote working skills,Lack of remote working skills,Lack of motivation,I have tasks that can't be done remotely,Lack of motivation,Cyber security,I have tasks that can't be done remotely,My work-life balance,The number of hours  I work,My mental wellbeing,My opportunities to socialise,My daily expenses,My job satisfaction,My mental wellbeing,The number of hours  I work,My job satisfaction,The number of hours  I work,My mental wellbeing,Managing my personal commitments,60,60,60,70,20,30,0,-10,-40,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0,0,-1,Poor management,Feeling left out and/or isolated,My mental wellbeing,The number of hours  I work,5.0,5.0
10,1985,Male,"Electricity, Gas, Water and Waste Services",Gas Supply,Managers,Gerentes Especialistas,More than 200,No,Group household,More than 5 years,Metro,20%,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,20%,40%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,I would not have preferred to work remotely ,I would prefer not to work remotely ,Somewhat agree,Somewhat agree,Somewhat agree,Im 20% less productive when working remotely,3.0,8.5,4.0,2.0,1.0,8.5,6.0,2.0,Feeling left out and/or isolated,Poor management,Lack of motivation,Poor management,Feeling left out and/or isolated,Poor management,Feeling left out and/or isolated,Poor management,Lack of motivation,Difficulty collaborating remotely,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Caring responsibilities,"My living situation (e.g. location, home size, who I live with)",Management discourages remote working,Difficulty collaborating remotely,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Lack of motivation,Management discourages remote working,"My living situation (e.g. location, home size, who I live with)",Management discourages remote working,Preparing for work and commuting,My working relationships,Preparing for work and commuting,My working relationships,Preparing for work and commuting,My working relationships,Managing my personal commitments,My opportunities to socialise,My daily expenses,My job satisfaction,My daily expenses,My opportunities to socialise,20,20,40,0,0,-20,0,40,-40,2.0,1.0,2.0,2.0,0.0,0.0,-1.0,1.0,-1.0,0.0,1.0,0.0,1,1,1,Feeling left out and/or isolated,Poor management,Preparing for work and commuting,My working relationships,-20.0,-20.0
