id,year_born,gender,how_long,industry,occupation,organisation,household,m_r,remote_last_quarter,remote_preferred_last_quarter,remote_this_year,remote_preferred_this_year,covid_cured_preferred_remote,arra_updated_policy,past_6months,how_often,how_often_like,policy_workplace,policy_workplace_time,think_policy1,think_policy2,think_policy3,think_policy4,feel_remote_policy,think_6months1,think_6months2,think_6months3,think_6months4,think_6months5,think_6months6,think_6months7,think_remote,most_supportive,covid_cured1,covid_cured2,covid_cured3,think_workplace1,think_workplace2,think_workplace3,think_workplace4,think_workplace5,think_remote1,think_remote2,think_remote3,think_remote4,think_remote5,remote_paycut,biggest_paycut,barriers_remote1,barriers_remote2,barriers_remote3,barriers_remote4,barriers_remote5,barriers_remote6,barriers_remote7,barriers_remote8,barriers_remote9,barriers_remote10,barriers_remote11,barriers_remote12,barriers_remote13,barriers_remote14,barriers_remote15,barriers_remote16,barrier_colleagues1,barrier_colleagues2,barrier_colleagues3,barrier_colleagues4,barrier_colleagues5,barrier_colleagues6,barrier_colleagues7,barrier_colleagues8,barrier_colleagues9,barrier_colleagues10,barrier_colleagues11,barrier_colleagues12,barrier_colleagues13,barrier_colleagues14,barrier_colleagues15,barrier_colleagues16,barrier_colleagues17,barrier_colleagues18,barrier_colleagues19,barrier_colleagues20,barrier_colleagues21,barrier_colleagues22,barrier_colleagues23,barrier_colleagues24,barrier_colleagues25,barrier_colleagues26,barrier_colleagues27,barrier_colleagues28,statements1,statements2,statements_2,manage_people,employees_manage_remote,statements_3,statements11,statements12,statements1_2,statements21,statements22,statements2_2,statements2_3,statements23,productive,productive_employees,productive1,productive_employees1,remote_last_quarter1,remote_preferred_last_quarter1,remote_this_year1,remote_preferred_this_year1,covid_cured_preferred_remote1,how_often1,how_often_like1,policy_workplace_time1,t_policy1,t_policy2,t_policy3,t_policy4,t_6months1,t_6months2,t_6months3,t_6months4,t_6months5,t_6months6,t_6months7,ss1,ss2,ss_2,ss_3,ss11,ss12,ss1_2,ss21,ss22,ss2_2,ss2_3,ss23,bar_rem1,bar_rem2,bar_rem3,bar_rem4,bar_rem5,bar_rem6,bar_rem7,bar_rem8,bar_rem9,bar_rem10,bar_rem11,bar_rem12,bar_rem13,bar_rem14,bar_rem15,bar_rem16,biggest_b_colle,smallest_b_colle,occupation_d,index_p,index_p21
1,1976,Male,More than 5 years,Other Services,Professionals,More than 200,Couple with dependent children,Metro,50% - I spent about half of my time remote working,80%,50% - I spent about half of my time remote working,80%,80%,Yes,Yes,50% - About half of my time,80%,Yes,40%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly Positive,They are about the same,Somewhat likely,Somewhat likely,Somewhat likely,2.0,6.0,1.0,7.0,8.0,0.0,8.0,1.0,7.0,8.0,No,,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Noisy work environment,Lack of privacy,Lack of appropriate work and meeting spaces,Lack of privacy,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Difficulty innovating,Connectivity/internet issues,Noisy work environment,Connectivity/internet issues,Noisy work environment,Problems with audio-visual setup,Interruptions,Connectivity/internet issues,Noisy work environment,Lack of privacy,Noisy work environment,Connectivity/internet issues,Interruptions,Lack of privacy,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Noisy work environment,Connectivity/internet issues,Interruptions,Lack of privacy,Noisy work environment,Problems with audio-visual setup,Strongly agree,Somewhat agree,Neither agree nor disagree,No,,,,,,,,,,,Im 50% more productive when working remotely (or more),,50,,50,80,50,80,80,50.0,80.0,40.0,1,1,1,1,1,1,2,1,1,-1,-1,2.0,1.0,0.0,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,Noisy work environment,Connectivity/internet issues,Profesionales de Tecnologías de la Información y Comunicación,30.0,30.0
2,1971,Male,More than 5 years,Construction,Professionals,More than 200,Couple with no dependent children,Metro,10%,50% - About half of my time,Less than 10% of my time,50% - About half of my time,50% - About half of my time,No,Yes,10%,Less than 10% of my time,Yes,100% - All of my time,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither positive nor negative,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Negative,They are about the same,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,1.5,8.0,2.0,6.0,6.5,0.0,10.0,4.0,4.0,6.0,No,,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Interruptions,Noisy work environment,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Difficulty innovating,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Lack of privacy,Interruptions,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Interruptions,Difficulty collaborating with remote colleagues,Interruptions,Difficulty innovating,Lack of appropriate work and meeting spaces,Noisy work environment,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Interruptions,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Lack of privacy,Problems with audio-visual setup,Interruptions,Lack of privacy,Difficulty innovating,Noisy work environment,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,,,,,,,,,,,Im 50% more productive when working remotely (or more),,50,,10,50,10,50,50,10.0,10.0,100.0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Interruptions,Lack of appropriate work and meeting spaces,Profesionales de Tecnologías de la Información y Comunicación,40.0,40.0
3,1978,Female,Between 6 and 12 months,Financial and Insurance,Professionals,More than 200,Single person,Metro,100% - I spent all of my time remote working,100% - All of my time,90%,90%,60%,Yes,No,,,Yes,20%,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly Positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat Positive,Senior leadership,Somewhat unlikely,Somewhat likely,Very likely,3.0,8.0,1.0,4.0,8.0,1.0,8.0,2.0,5.0,8.0,Yes,0.1,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Not a barrier for me,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No,,,,,,,,,,,My productivity is about same when I work remotely,,0,,100,100,90,90,60,,,20.0,2,0,-2,0,2,2,2,2,2,-2,2,1.0,0.0,-1.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,1.0,0.0,,,"Profesionales de Negocios, Recursos Humanos y Marketing",0.0,0.0
4,1962,Female,Between 1 and 5 years,Health Care and Social Assistance,Professionals,Between 20 and 199,One parent family with dependent children,Regional,40%,40%,40%,40%,40%,Yes,Yes,40%,40%,Yes,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither positive nor negative,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat Negative,They are about the same,Somewhat likely,Somewhat likely,Somewhat likely,1.0,8.0,6.0,3.0,6.0,1.0,8.0,4.0,4.0,7.0,No,,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Significantly worsened,Significantly worsened,Not a barrier for me,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Difficulty collaborating with remote colleagues,Lack of privacy,Lack of privacy,Problems with audio-visual setup,Interruptions,Connectivity/internet issues,Difficulty innovating,Lack of privacy,Noisy work environment,Connectivity/internet issues,Noisy work environment,Interruptions,Interruptions,Problems with audio-visual setup,Noisy work environment,Lack of appropriate work and meeting spaces,Noisy work environment,Lack of appropriate work and meeting spaces,Interruptions,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Difficulty innovating,Noisy work environment,Problems with audio-visual setup,Interruptions,Lack of appropriate work and meeting spaces,Noisy work environment,Problems with audio-visual setup,Somewhat agree,Somewhat agree,Somewhat agree,Yes,Yes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Im 50% more productive when working remotely (or more),Im 50% more productive when working remotely (or more),50,50.0,40,40,40,40,40,40.0,40.0,50.0,1,1,1,1,0,0,1,0,0,-1,-1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-2.0,-2.0,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,Noisy work environment,Problems with audio-visual setup,Profesionales de la Salud,0.0,0.0
5,1974,Male,More than 5 years,Financial and Insurance,Managers,More than 200,Couple with dependent children,Regional,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,100% - All of my time,100% - All of my time,No,No,,,No,,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat Positive,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly Positive,My direct manger(s),Somewhat likely,Somewhat likely,Somewhat likely,5.0,8.0,2.0,3.0,6.0,,9.0,3.0,4.0,8.0,No,,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Somewhat agree,Neither agree nor disagree,No,,,,,,,,,,,Im 20% more productive when working remotely,,20,,100,100,100,100,100,,,,2,1,2,1,1,2,1,1,2,0,1,2.0,1.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,,,Gerentes Especialistas,0.0,0.0
6,1985,Male,Between 1 and 5 years,Manufacturing,Technicians and trades ,Between 5 and 19,Couple with dependent children,Metro,50% - I spent about half of my time remote working,40%,50% - I spent about half of my time remote working,50% - About half of my time,50% - About half of my time,Yes,Yes,70%,20%,No,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat Negative,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Negative,Senior leadership,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,3.0,8.0,2.0,3.0,8.0,2.0,8.0,4.0,2.0,8.0,No,,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Stayed about the same,Noisy work environment,Interruptions,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Interruptions,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Connectivity/internet issues,Noisy work environment,Interruptions,Noisy work environment,Connectivity/internet issues,Interruptions,Difficulty innovating,Noisy work environment,Connectivity/internet issues,Noisy work environment,Problems with audio-visual setup,Interruptions,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Noisy work environment,Lack of privacy,Lack of appropriate work and meeting spaces,Noisy work environment,Difficulty collaborating with remote colleagues,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,,,,,,,,,,,Im 20% more productive when working remotely,,20,,50,40,50,50,50,70.0,20.0,,1,1,0,1,0,0,-1,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,Connectivity/internet issues,Noisy work environment,Oficios de Construcción,-5.0,-5.0
7,1973,Male,More than 5 years,Public Administration and Safety,Managers,Between 20 and 199,Couple with dependent children,Metro,100% - I spent all of my time remote working,100% - All of my time,80%,100% - All of my time,100% - All of my time,Yes,No,,,Yes,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat Positive,They are about the same,Neither unlikely or likely,Somewhat likely,Somewhat likely,2.0,8.0,3.0,3.0,8.0,1.0,8.0,3.0,4.0,8.0,No,,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Difficulty collaborating with remote colleagues,Lack of privacy,Connectivity/internet issues,Lack of privacy,Connectivity/internet issues,Difficulty innovating,Connectivity/internet issues,Lack of privacy,Connectivity/internet issues,Difficulty innovating,Problems with audio-visual setup,Interruptions,Connectivity/internet issues,Interruptions,Lack of appropriate work and meeting spaces,Difficulty innovating,Connectivity/internet issues,Noisy work environment,Problems with audio-visual setup,Difficulty innovating,Problems with audio-visual setup,Difficulty innovating,Connectivity/internet issues,Lack of privacy,Difficulty collaborating with remote colleagues,Lack of privacy,Problems with audio-visual setup,Difficulty innovating,Somewhat agree,Somewhat agree,Somewhat agree,Yes,Yes,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Im 10% more productive when working remotely,Im 10% more productive when working remotely,10,10.0,100,100,80,100,100,,,20.0,1,1,1,1,1,1,1,1,1,-1,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Connectivity/internet issues,Difficulty innovating,Gerentes Especialistas,10.0,10.0
8,1992,Female,Between 1 and 5 years,Administrative and Support,Clerical and administrative ,More than 200,Couple with no dependent children,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,100% - All of my time,90%,No,No,,,No,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat Positive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither positive nor negative,They are about the same,Somewhat likely,Somewhat likely,Neither unlikely or likely,1.5,8.5,0.5,5.5,8.0,0.5,9.0,0.5,5.0,9.0,No,,Stayed about the same,Stayed about the same,Stayed about the same,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Stayed about the same,Stayed about the same,Not a barrier for me,Stayed about the same,Not a barrier for me,Stayed about the same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Neither agree nor disagree,No,,,,,,,,,,,Im 20% more productive when working remotely,,20,,100,100,100,100,90,,,,1,1,0,1,1,1,1,1,1,-1,1,1.0,1.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,,0.0,,,Clerical General,0.0,0.0
9,1970,Female,More than 5 years,Administrative and Support,Clerical and administrative ,More than 200,One parent family with dependent children,Metro,100% - I spent all of my time remote working,100% - All of my time,50% - I spent about half of my time remote working,50% - About half of my time,50% - About half of my time,No,No,,,Unsure,,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat Positive,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat Negative,Senior leadership,Somewhat likely,Somewhat likely,Neither unlikely or likely,1.0,8.0,5.0,2.0,8.0,1.0,7.0,5.0,3.0,8.0,Yes,0.1,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Significantly improved,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Significantly improved,Interruptions,Lack of privacy,Lack of privacy,Lack of appropriate work and meeting spaces,Lack of appropriate work and meeting spaces,Interruptions,Lack of privacy,Connectivity/internet issues,Difficulty innovating,Interruptions,Problems with audio-visual setup,Interruptions,Problems with audio-visual setup,Interruptions,Difficulty innovating,Noisy work environment,Noisy work environment,Lack of appropriate work and meeting spaces,Difficulty innovating,Interruptions,Difficulty innovating,Lack of appropriate work and meeting spaces,Lack of privacy,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Interruptions,Difficulty innovating,Noisy work environment,Strongly agree,Somewhat agree,Strongly disagree,No,,,,,,,,,,,Im 50% less productive when working remotely (or worse),,-50,,100,100,50,50,50,,,,2,2,1,2,0,1,1,1,0,0,1,2.0,1.0,-2.0,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,Difficulty innovating,Interruptions,Clerical General,0.0,0.0
10,1981,Female,Between 1 and 5 years,Other Services,Professionals,More than 200,Couple with no dependent children,Metro,100% - I spent all of my time remote working,100% - All of my time,90%,100% - All of my time,100% - All of my time,Yes,Yes,Less than 10% of my time,Less than 10% of my time,Unsure,,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat Positive,My direct manger(s),Neither unlikely or likely,Neither unlikely or likely,Somewhat likely,1.5,8.0,0.0,7.5,7.0,0.5,8.0,0.0,8.5,7.0,No,,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly disagree,No,,,,,,,,,,,Im 50% more productive when working remotely (or more),,50,,100,100,90,100,100,10.0,10.0,,2,1,1,1,0,2,2,1,2,0,-1,2.0,2.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Profesionales de Tecnologías de la Información y Comunicación,5.0,5.0
