occupation_d,Mis responsabilidades de cuidado,Conectividad,Software y sistemas de mi organización,Dificultad para colaborar de forma remota,Mala gestión,Equipos informáticos,Sentirse excluido/a y/o aislado/a,Costos adicionales,Ciberseguridad,Tengo tareas que no se pueden realizar de forma remota,Mi espacio de trabajo ,Motivación,La gerencia desalienta el trabajo remoto,Mi situación de vida,Falta de habilidades para trabajar de forma remota,Mi salud y seguridad al trabajar de forma remota,¿Cuáles fueron las barreras más grandes al trabajar de esta manera?,¿Cuáles fueron las barreras más pequeñas al trabajar de esta manera?
Profesionales de Tecnologías de la Información y Comunicación,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,Entorno de trabajo ruidoso,Problemas de conectividad/internet
Profesionales de Tecnologías de la Información y Comunicación,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Interrupciones,Falta de espacios de trabajo y reuniones adecuados
"Profesionales de Negocios, Recursos Humanos y Marketing",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,1.0,0.0,,
Profesionales de la Salud,1.0,1.0,1.0,0.0,0.0,0.0,-2.0,-2.0,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,Entorno de trabajo ruidoso,Problemas con la configuración de audio y video
Gerentes Especialistas,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,,
Oficios de Construcción,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,Problemas de conectividad/internet,Entorno de trabajo ruidoso
Gerentes Especialistas,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Problemas de conectividad/internet,Dificultad para innovar
Clerical General,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,,0.0,,
Clerical General,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,Dificultad para innovar,Interrupciones
Profesionales de Tecnologías de la Información y Comunicación,,,,,,,,,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,,
Operadores de Equipos Móviles,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Falta de privacidad,Entorno de trabajo ruidoso
Profesionales de Tecnologías de la Información y Comunicación,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Clerical General,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,-1.0,,,-1.0,1.0,Problemas de conectividad/internet,Falta de privacidad
Profesionales de la Salud,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Problemas de conectividad/internet,Dificultad para colaborar con colegas remotos
Profesionales de la Educación,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,Problemas de conectividad/internet,Interrupciones
"Gerentes de Hospitalidad, Retail y Servicios",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Entorno de trabajo ruidoso,Interrupciones
"Directores Ejecutivos, Gerentes Generales y Legisladores",1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,Problemas de conectividad/internet,Interrupciones
Gerentes Especialistas,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Problemas de conectividad/internet,Falta de privacidad
Soporte de Ventas,,-1.0,-1.0,,,-1.0,,,,,-2.0,1.0,,-1.0,,1.0,Problemas de conectividad/internet,Falta de espacios de trabajo y reuniones adecuados
Hospitalidad,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,Problemas de conectividad/internet,Problemas con la configuración de audio y video
Gerentes Especialistas,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,,
Gerentes Especialistas,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,Interrupciones,Problemas de conectividad/internet
Gerentes Especialistas,1.0,1.0,0.0,1.0,,1.0,1.0,2.0,,,2.0,2.0,0.0,,,2.0,,
Clerical General,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
Gerentes Especialistas,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,Entorno de trabajo ruidoso,Problemas de conectividad/internet
Clerical General,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,,
Apoyo Clerical y de Oficina,2.0,1.0,2.0,2.0,1.0,2.0,2.0,,2.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,Entorno de trabajo ruidoso,Falta de privacidad
Profesionales de Tecnologías de la Información y Comunicación,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Habilidad en Cuidado Animal y Horticultura,0.0,,,,,,,,,0.0,0.0,-1.0,,0.0,,0.0,Dificultad para innovar,Dificultad para colaborar con colegas remotos
Profesionales de Tecnologías de la Información y Comunicación,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,,0.0,-1.0,,0.0,,-2.0,,
Profesionales de la Educación,-2.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-1.0,-2.0,-1.0,-1.0,-2.0,,
Profesionales de Tecnologías de la Información y Comunicación,,,,,,,,,,,0.0,,,,,,Interrupciones,Entorno de trabajo ruidoso
"Directores Ejecutivos, Gerentes Generales y Legisladores",1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,Problemas de conectividad/internet,Falta de privacidad
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,Falta de espacios de trabajo y reuniones adecuados,Falta de privacidad
Gerentes Especialistas,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",1.0,1.0,1.0,-2.0,-2.0,0.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,0.0,1.0,Falta de espacios de trabajo y reuniones adecuados,Interrupciones
"Directores Ejecutivos, Gerentes Generales y Legisladores",,,,,,,,,0.0,0.0,,,,,,0.0,Interrupciones,Falta de privacidad
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",2.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,,
"Profesionales Legales, Sociales y de Bienestar",0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Problemas de conectividad/internet,Dificultad para innovar
