occupation_d,barrera más significativa para realizar tu trabajo de forma remota,barrera menos significativa para realizar tu trabajo de forma remota,mejor aspecto del trabajo remoto para ti,peor aspecto del trabajo remoto para ti
Otros Clericales y Administrativos,Dificultad para colaborar de forma remota,Ciberseguridad,Gestionar mis compromisos personales,Mis relaciones laborales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Equipos de IT ,Sentirse excluido y/o aislado,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",Gestión deficiente,Falta de motivación,La cantidad de horas que trabajo,Preparación para el trabajo y el desplazamiento
Profesionales de Tecnologías de la Información y Comunicación,Falta de motivación,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Gerentes Especialistas,Gestión deficiente,Conectividad (conexión a internet),Preparación para el trabajo y el desplazamiento,Mis oportunidades de aprendizaje en el trabajo
Soporte de Ventas,Dificultad para colaborar de forma remota,Mi situación de vida,Preparación para el trabajo y el desplazamiento,Mis oportunidades de aprendizaje en el trabajo
Clerical General,La dirección desalienta el trabajo remoto,Sentirse excluido y/o aislado,Mis gastos diarios,Preparación para el trabajo y el desplazamiento
"Directores Ejecutivos, Gerentes Generales y Legisladores",Responsabilidades de cuidado,Conectividad (conexión a internet),Mi satisfacción laboral,Gestionar mis responsabilidades familiares
Clerical General,Gestión deficiente,Sentirse excluido y/o aislado,Mi bienestar mental,La cantidad de horas que trabajo
Gerentes Especialistas,Sentirse excluido y/o aislado,Gestión deficiente,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Clerical General,Conectividad (conexión a internet),Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mis oportunidades de aprendizaje en el trabajo
"Profesionales de Negocios, Recursos Humanos y Marketing",Equipos de IT ,Responsabilidades de cuidado,Mis relaciones personales,Preparación para el trabajo y el desplazamiento
"Profesionales de Negocios, Recursos Humanos y Marketing",Conectividad (conexión a internet),Mi espacio de trabajo,Mis gastos diarios,Mis relaciones laborales
Gerentes Especialistas,Tengo tareas que no se pueden realizar de forma remota,Conectividad (conexión a internet),Mis gastos diarios,Mis oportunidades de socializar
Asistentes Personales y Secretarias,Sentirse excluido y/o aislado,Responsabilidades de cuidado,Gestionar mis compromisos personales,Mis relaciones laborales
Profesionales de Tecnologías de la Información y Comunicación,Conectividad (conexión a internet),Mi situación de vida,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
Apoyo Clerical y de Oficina,Ciberseguridad,Responsabilidades de cuidado,Gestionar mis responsabilidades familiares,Mi bienestar mental
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Sentirse excluido y/o aislado,Falta de motivación,Mis gastos diarios,Mi bienestar mental
Representantes y Agentes de Ventas,Gestión deficiente,Ciberseguridad,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Servicio de Protección,Gestión deficiente,Mi situación de vida,Gestionar mis responsabilidades familiares,Mis oportunidades de aprendizaje en el trabajo
Gerentes Especialistas,Sentirse excluido y/o aislado,Mi situación de vida,Gestionar mis responsabilidades familiares,Mi bienestar mental
Asistentes Personales y Secretarias,Dificultad para colaborar de forma remota,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mi satisfacción laboral
"Profesionales de Negocios, Recursos Humanos y Marketing",Dificultad para colaborar de forma remota,Equipos de IT ,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
