occupation_d,¿Gestionas personas como parte de tu trabajo actual?,¿Los empleados que gestionas trabajan de forma remota alguna vez?,Tengo discreción para ofrecer o denegar el trabajo remoto a los empleados que gestiono,Ofrecer trabajo remoto me ayuda a retener empleados,Ofrecer trabajo remoto me ayuda a reclutar empleados,Mi equipo funciona bien cuando trabajan de forma remota,"Me resulta fácil gestionar empleados de forma remota (por ejemplo, asignar tareas y controlar el progreso)",Me resulta fácil gestionar empleados con bajo rendimiento de forma remota,Me siento bien preparado/a para gestionar empleados de forma remota,Gestionar personas de forma remota me hace estar más enfocado/a en los resultados,Me resulta fácil contactar a mis empleados cuando trabajan de forma remota
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Profesionales de la Salud,Yes,Yes,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gerentes Especialistas,No,,,,,,,,,,
Oficios de Construcción,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,10.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
Clerical General,No,,,,,,,,,,
Clerical General,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,50.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Operadores de Equipos Móviles,Yes,Yes,20.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,-10.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Clerical General,No,,,,,,,,,,
Profesionales de la Salud,No,,,,,,,,,,
Profesionales de la Educación,Yes,Yes,50.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
"Gerentes de Hospitalidad, Retail y Servicios",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,10.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Gerentes Especialistas,Yes,Yes,10.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0
Soporte de Ventas,No,,,,,,,,,,
Hospitalidad,Yes,No,50.0,,,,,,,,
Gerentes Especialistas,Yes,Yes,30.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0
Gerentes Especialistas,Yes,Yes,30.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0
Gerentes Especialistas,Yes,Yes,50.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0
Clerical General,No,,,,,,,,,,
Gerentes Especialistas,No,,,,,,,,,,
Clerical General,No,,,,,,,,,,
