occupation_d,¿Tu empleador ha cambiado o actualizado su política sobre el trabajo remoto desde COVID-19?,¿Has trabajado alguna vez parte de tu día de forma remota y parte en el lugar de trabajo de tu empleador (2021)?,¿Con qué frecuencia trabajas de esta manera?,¿Con qué frecuencia te gustaría trabajar de esta manera?,¿Tu empleador tiene una política que requiere que los trabajadores estén en el lugar de trabajo del empleador parte del tiempo?,¿Cuánto tiempo de tu jornada laboral requiere la política de tu empleador que estés en su lugar de trabajo?,(prw) La política de trabajo remoto de mi empleador me conviene,(prw) Puedo elegir cuánto trabajo hago de forma remota,(prw) Elijo en qué días trabajo de forma remota,(prw) Mi supervisor directo tiene la discreción de permitir o denegar el trabajo remoto,¿Cómo te sientes acerca de la política de trabajo remoto de tu empleador?,¿Estarías interesado/a en negociar el trabajo remoto?,¿Cuál es la mayor reducción de salario que aceptarías?
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,50.0,80.0,Yes,40%,1,1,1,1,Somewhat Positive,No,
Profesionales de Tecnologías de la Información y Comunicación,No,Yes,10.0,10.0,Yes,100% - All of my time,0,0,0,1,Neither positive nor negative,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,No,,,Yes,20%,2,0,-2,0,Strongly Positive,Yes,0.1
Profesionales de la Salud,Yes,Yes,40.0,40.0,Yes,50% - About half of my time,1,1,1,1,Neither positive nor negative,No,
Gerentes Especialistas,No,No,,,No,,2,1,2,1,Somewhat Positive,No,
Oficios de Construcción,Yes,Yes,70.0,20.0,No,,1,1,0,1,Somewhat Negative,No,
Gerentes Especialistas,Yes,No,,,Yes,20%,1,1,1,1,Somewhat Positive,No,
Clerical General,No,No,,,No,,1,1,0,1,Somewhat Positive,No,
Clerical General,No,No,,,Unsure,,2,2,1,2,Somewhat Positive,Yes,0.1
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,10.0,10.0,Unsure,,2,1,1,1,Somewhat Positive,No,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,90.0,100.0,No,,2,2,2,-1,Somewhat Positive,No,
Operadores de Equipos Móviles,Yes,Yes,10.0,10.0,Yes,80%,0,-1,-1,-1,Somewhat Negative,No,
Profesionales de Tecnologías de la Información y Comunicación,No,Yes,50.0,50.0,No,,2,2,2,2,Strongly Positive,No,
Clerical General,Yes,No,,,Yes,50% - About half of my time,-2,-2,-2,-2,Strongly Positive,No,
Profesionales de la Salud,Yes,No,,,No,,1,1,2,1,Somewhat Negative,No,
