occupation_d,Productividad,Preparación para el trabajo y desplazamiento en el lugar de trabajo,Trabajo en el lugar de trabajo,Tiempo personal y familiar en el lugar de trabajo,Responsabilidades de cuidado y domésticas en el lugar de trabajo,Preparación para el trabajo y desplazamiento en el trabajo remoto,Trabajo en el trabajo remoto,Tiempo personal y familiar en el trabajo remoto,Responsabilidades de cuidado y domésticas en el trabajo remoto
Other Clerical and Administrative ,50,2.0,8.0,2.0,2.0,0.5,8.0,3.5,2.0
"Chief Executives, General Managers and Legislators",-20,2.0,7.0,3.0,3.0,0.0,7.0,3.0,3.0
"Chief Executives, General Managers and Legislators",-10,6.0,1.0,6.0,5.0,5.0,2.0,7.0,7.0
ICT Professionals,0,1.0,9.0,1.0,2.0,0.0,9.0,3.0,2.0
Specialist Managers,20,1.0,8.0,13.0,2.0,0.0,6.0,15.0,3.0
Sales Support ,0,1.0,8.0,2.0,2.0,0.0,7.0,3.0,3.0
General Clerical ,50,2.0,8.0,4.0,1.0,0.0,8.0,5.0,3.0
"Chief Executives, General Managers and Legislators",-30,1.0,8.0,4.0,3.0,0.4,6.0,4.0,6.0
General Clerical ,30,0.0,8.0,12.0,4.0,0.0,8.0,13.0,1.0
Specialist Managers,-20,3.0,8.5,4.0,2.0,1.0,8.5,6.0,2.0
General Clerical ,0,3.0,8.0,3.0,2.0,0.5,8.0,5.0,2.0
"Business, Human Resource and Marketing Professionals",10,2.0,10.0,3.0,2.0,0.5,12.0,4.0,2.0
"Business, Human Resource and Marketing Professionals",-10,2.0,8.0,1.0,1.0,0.0,9.0,2.0,1.0
Specialist Managers,50,1.0,12.0,4.0,1.0,0.0,13.0,5.0,1.0
Personal Assistants and Secretaries,0,1.0,5.0,3.0,2.0,0.5,5.0,4.0,2.0
ICT Professionals,0,2.5,8.0,4.0,1.5,0.5,9.0,6.0,2.0
Clerical and Office Support ,50,0.5,8.0,2.0,2.0,0.25,9.0,2.0,2.0
"Design, Engineering, Science and Transport Professionals",-30,3.0,10.0,2.0,2.0,1.0,12.0,2.0,2.0
Sales Representatives and Agents,50,0.5,4.0,8.0,0.5,0.0,5.0,8.0,0.5
Protective Service ,50,2.0,8.0,1.0,3.0,0.5,8.0,1.5,3.0
Specialist Managers,0,3.0,8.0,2.0,2.0,0.5,8.0,4.0,3.0
Personal Assistants and Secretaries,30,2.0,7.0,9.0,6.0,0.5,9.0,9.5,5.0
"Business, Human Resource and Marketing Professionals",20,1.5,7.5,4.0,3.0,1.0,7.5,2.0,2.0
Other Clerical and Administrative ,40,2.0,8.0,10.0,4.0,0.0,8.0,12.0,4.0
"Design, Engineering, Science and Transport Professionals",30,3.0,10.0,3.0,2.0,1.0,11.0,5.0,2.0
"Chief Executives, General Managers and Legislators",-30,2.0,10.0,10.0,2.0,0.0,10.0,10.0,4.0
"Legal, Social and Welfare Professionals",-10,2.0,6.0,0.5,0.0,0.0,8.0,1.0,0.0
Other Clerical and Administrative ,0,0.5,6.0,8.0,2.0,0.5,6.0,10.0,2.0
"Design, Engineering, Science and Transport Professionals",30,1.0,8.0,5.0,2.0,1.0,8.0,6.0,6.0
Education Professionals,30,2.0,8.0,4.0,0.0,0.0,8.0,5.0,1.0
"Chief Executives, General Managers and Legislators",-10,1.0,8.5,3.0,2.0,0.0,9.5,4.0,3.0
Specialist Managers,20,4.0,8.5,3.5,1.0,0.0,9.5,3.5,1.0
Specialist Managers,-30,2.0,8.0,8.0,6.0,1.0,10.0,5.0,8.0
"Chief Executives, General Managers and Legislators",30,1.0,6.0,2.0,1.0,1.0,8.0,2.0,1.0
General Clerical ,0,0.5,8.0,3.0,5.0,0.0,8.0,4.0,4.0
