occupation_d,Preparación para el trabajo y desplazamiento en el lugar de trabajo,Trabajo en el lugar de trabajo,Responsabilidades de cuidado y domésticas en el lugar de trabajo,Tiempo personal y familiar en el lugar de trabajo,Sueño en el lugar de trabajo,Preparación para el trabajo y desplazamiento en el trabajo remoto,Trabajo en el trabajo remoto,Responsabilidades de cuidado y domésticas en el trabajo remoto,Tiempo personal y familiar en el trabajo remoto,Sueño en el trabajo remoto
Profesionales de Tecnologías de la Información y Comunicación,2.0,6.0,1.0,7.0,8.0,0.0,8.0,1.0,7.0,8.0
Profesionales de Tecnologías de la Información y Comunicación,1.5,8.0,2.0,6.0,6.5,0.0,10.0,4.0,4.0,6.0
"Profesionales de Negocios, Recursos Humanos y Marketing",3.0,8.0,1.0,4.0,8.0,1.0,8.0,2.0,5.0,8.0
Profesionales de la Salud,1.0,8.0,6.0,3.0,6.0,1.0,8.0,4.0,4.0,7.0
Gerentes Especialistas,5.0,8.0,2.0,3.0,6.0,,9.0,3.0,4.0,8.0
Oficios de Construcción,3.0,8.0,2.0,3.0,8.0,2.0,8.0,4.0,2.0,8.0
Gerentes Especialistas,2.0,8.0,3.0,3.0,8.0,1.0,8.0,3.0,4.0,8.0
Clerical General,1.5,8.5,0.5,5.5,8.0,0.5,9.0,0.5,5.0,9.0
Clerical General,1.0,8.0,5.0,2.0,8.0,1.0,7.0,5.0,3.0,8.0
Profesionales de Tecnologías de la Información y Comunicación,1.5,8.0,0.0,7.5,7.0,0.5,8.0,0.0,8.5,7.0
Profesionales de Tecnologías de la Información y Comunicación,2.0,8.0,2.0,4.0,8.0,0.0,8.0,4.0,4.0,8.0
Operadores de Equipos Móviles,1.0,8.0,3.0,4.0,8.0,1.0,8.0,3.0,4.0,8.0
Profesionales de Tecnologías de la Información y Comunicación,3.0,8.0,2.0,3.0,8.0,0.0,12.0,2.0,2.0,8.0
Clerical General,2.5,8.0,2.0,3.5,8.0,0.0,8.0,3.0,4.0,9.0
Profesionales de la Salud,1.0,11.0,2.0,1.0,9.0,0.0,12.0,2.0,2.0,8.0
Profesionales de la Educación,3.0,8.0,3.0,2.0,8.0,2.0,8.0,3.0,3.0,8.0
"Gerentes de Hospitalidad, Retail y Servicios",5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",3.0,8.0,3.0,3.0,7.0,1.0,8.0,4.0,3.0,8.0
Gerentes Especialistas,3.0,8.0,3.0,2.0,8.0,1.0,8.0,4.0,3.0,8.0
Soporte de Ventas,2.5,8.0,3.0,2.5,8.0,0.5,8.0,3.0,4.5,8.0
Hospitalidad,8.0,2.0,1.0,5.0,8.0,2.0,10.0,8.0,2.0,2.0
Gerentes Especialistas,1.0,2.0,5.0,8.0,8.0,1.0,8.0,4.0,3.0,8.0
Gerentes Especialistas,2.0,8.0,3.0,3.0,8.0,0.0,8.0,5.0,3.0,8.0
Gerentes Especialistas,1.0,4.0,6.0,6.0,7.0,0.0,4.0,8.0,4.0,8.0
Clerical General,2.0,8.0,4.0,4.0,6.0,1.0,8.0,3.0,4.0,8.0
Gerentes Especialistas,1.0,4.0,0.0,11.0,8.0,1.0,4.0,0.0,11.0,8.0
Clerical General,1.0,8.0,4.0,3.0,8.0,1.0,8.0,4.0,3.0,8.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",1.0,8.0,3.0,5.0,7.0,2.0,8.0,3.0,3.0,8.0
Apoyo Clerical y de Oficina,2.0,8.0,2.0,4.0,8.0,2.0,8.0,2.0,6.0,6.0
Profesionales de Tecnologías de la Información y Comunicación,3.5,7.5,1.0,2.0,10.0,0.0,9.0,3.0,2.0,10.0
Habilidad en Cuidado Animal y Horticultura,1.0,6.0,4.0,6.0,7.0,1.0,7.0,4.5,4.5,7.0
Profesionales de Tecnologías de la Información y Comunicación,2.0,8.0,1.0,4.0,9.0,1.0,8.0,1.0,6.0,8.0
Profesionales de la Educación,2.0,8.0,4.0,2.0,8.0,2.0,8.0,3.0,3.0,8.0
Profesionales de Tecnologías de la Información y Comunicación,2.0,7.0,2.0,6.0,7.0,0.0,9.0,2.0,6.0,7.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",1.5,8.0,1.0,6.5,7.0,0.5,6.0,1.0,9.5,7.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",1.5,8.5,2.0,4.0,8.0,0.0,8.5,2.0,5.5,8.0
Gerentes Especialistas,3.0,8.0,1.0,4.0,8.0,0.0,10.0,1.0,5.0,8.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.0,7.0,4.0,3.0,8.0,2.0,7.0,3.0,4.0,8.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.5,8.5,2.0,3.5,7.5,0.0,8.5,2.5,5.0,8.0
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",16.0,3.0,3.0,1.0,1.0,16.0,3.0,3.0,1.0,1.0
"Profesionales Legales, Sociales y de Bienestar",1.0,8.0,3.0,5.0,7.0,1.0,8.0,3.0,5.0,7.0
Profesionales de la Salud,1.0,7.0,1.0,7.0,8.0,1.0,7.0,1.0,7.0,8.0
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",4.0,8.0,1.0,4.0,7.0,0.0,10.0,1.5,4.5,8.0
