occupation_d,Mi organización alentó a las personas a trabajar de forma remota (2020),Fue fácil obtener permiso para trabajar de forma remota (2020),Era común que las personas en mi organización trabajaran de forma remota (2020),Fue fácil obtener permiso para trabajar de forma remota (2020),Pude colaborar fácilmente con colegas mientras trabajaba de forma remota (2020),Recomendaría el trabajo remoto a otros (2020),Mi organización alentó a las personas a trabajar de forma remota (2019),Mi organización estaba bien preparada para que yo trabajara de forma remota (2019),Era común que las personas en mi organización trabajaran de forma remota (2019),Fue fácil obtener permiso para trabajar de forma remota (2019),Pude colaborar fácilmente con colegas mientras trabajaba de forma remota (2019),Recomendaría el trabajo remoto a otros (2019),Mi empleador alentaría más trabajo remoto (2021),Mi empleador haría cambios para respaldar el trabajo remoto (2021),Tendría más opciones sobre si trabajo de forma remota (2021)
Other Clerical and Administrative ,2.0,1.0,1.0,2.0,1.0,2.0,,,,,,,-1,-1,-2
"Chief Executives, General Managers and Legislators",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
"Chief Executives, General Managers and Legislators",0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,1,1
ICT Professionals,2.0,-1.0,1.0,2.0,2.0,2.0,-2.0,1.0,-1.0,-1.0,1.0,1.0,1,2,1
Specialist Managers,-1.0,1.0,2.0,-1.0,1.0,2.0,-2.0,1.0,-1.0,-2.0,2.0,1.0,-2,-2,-2
Sales Support ,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1,1,1
General Clerical ,2.0,1.0,2.0,-2.0,2.0,2.0,,,,,,,1,2,2
"Chief Executives, General Managers and Legislators",2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1,1,2
General Clerical ,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0,0,-1
Specialist Managers,2.0,1.0,2.0,2.0,0.0,0.0,-1.0,1.0,-1.0,0.0,1.0,0.0,1,1,1
General Clerical ,2.0,2.0,0.0,2.0,2.0,2.0,,,,,,,1,1,1
"Business, Human Resource and Marketing Professionals",2.0,1.0,2.0,2.0,1.0,1.0,,,,,,,1,1,1
"Business, Human Resource and Marketing Professionals",2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1,1,2
Specialist Managers,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,1,1
Personal Assistants and Secretaries,1.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2,1,2
ICT Professionals,2.0,1.0,2.0,2.0,1.0,2.0,,,,,,,1,1,2
Clerical and Office Support ,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0,0,0
"Design, Engineering, Science and Transport Professionals",2.0,0.0,2.0,2.0,-1.0,-1.0,2.0,-1.0,2.0,2.0,-1.0,-2.0,-1,1,2
Sales Representatives and Agents,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2
Protective Service ,-2.0,-2.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,1.0,1.0,-2,-2,-1
Specialist Managers,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,2
Personal Assistants and Secretaries,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,1,1,1
"Business, Human Resource and Marketing Professionals",0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0,0,0
Other Clerical and Administrative ,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,1,1,1
"Design, Engineering, Science and Transport Professionals",1.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,1,1,1
"Chief Executives, General Managers and Legislators",-2.0,-2.0,-2.0,-1.0,-2.0,0.0,-2.0,-1.0,-2.0,-1.0,-2.0,1.0,-2,-2,-2
"Legal, Social and Welfare Professionals",2.0,1.0,2.0,2.0,1.0,1.0,-1.0,-1.0,-1.0,-2.0,-1.0,0.0,2,2,2
